리뷰 수집
"국내산 찰보리 경주빵 팥앙금이 국내산인지 알 수는 없지만 밀가루가 없다고 하는데, 찰보리는 아닌듯 느껴졌습니다. 그냥 가볍게 디저트로 즐길만 합니다. 제품이 가격에 비해서 그닥 싸다고 느껴지지는 않네요."
맛 있네요 근데 유통기한이 일주일 남았네요
유통기간짧은게아쉽지만. 팥앙금 알차고 정말 맛있어요 가족끼리 든든하게먹었어요
팥 양이 많고 맛 있네요
간식으로 아주 좋아요 질리지 안아요 추천합니다
엄마아빠 간식이예용 맛잇어용
간식으로 하나씩 맛이 좋아요.
덜달고 맛있어서 손이자꾸가요
많이 안달고 맛있어요
개씩 먹기 좋아요..
료가 좋고 맛있는 ..
좋은상품 좋은가격에 구매했어요
잘받았습니다 약간작지만 맛있습니다~
잘 받았습니다 감사합니다
잘 받았습니다 감사합니다
달지 않고 한입에 쏙~~ 먹기 좋아요 작아서 금방 먹겠어요
맛있어요. 아이들은 안 좋아하고... 어른 간식용으로 적당한 듯
배송빠르고. 맛있어요 조그만하네요
경주빵 사이즈는 작지만 갯수가 40개라 냉동실에 두고서 생각날 때마다 달콤하게 먹어요.
전국 각지에 식구들에게 보냈어요
ㅂㅅㅇㄹ싫어 잘 먹었습니다
보리로 만든 경주빵 건강에도 좋을 것 같아요. 팥도 많이 들어 있고 맛있네요 감사합니다
어머니 보내드렸어요.. 잘먹겠다고 하시네요.. 냉동실 2개월 보관 가능하다니.. 하나씩 간식으로 드신다네요..
좋아요좋아요좋아요 ㅎㅎ 오늘 좋아요좋아요좋아요
맛잇어요 우유랑 먹엇는데 좋아요
크기가 좀 작긴한대 간식으로 먹기좋아요 유통일이 5일동안이라 반은 실온 반은 냉동했어요
반품 할려햇는데 안하길 잘햇네요ᆢ맛잇네요
가성비가 짱입니다...^^~^^
촉촉하니 너무 맛있어요. 찰보리라 구수하기도 해요. 강력추천합니다. 커피와도 잘 어울려요. 최고입니다.재구매 해야죠
사이즈가 작은데 팥이 꽉 차있어요 시판하는 만쥬 느낌도 나요
밀가루보다는 찰보리가 좋을 것 같아 선택했어요.
보리라서 건강에 좋을것 같아요 맛도 좋아요
맛있어요. 갯수를 줄이고 크기를 늘리면 꽉 찬 식감이 황남빵이나 경주빵 같을텐데요. 식감상 보리가 아닌 찰보리를 쓰겠지만 찰기는 다이어트와 혈당 방어에 제일 적이라서 재료는 아주 조금 아쉬워요.
진짜 잘샀어요 맛있네요 부드럽구ㅎㅎ
가족 모두 맛있게 잘 먹었습니다 맛있어요
팥종류빵좋아해서주문했어요 밀가루보다 보리라서 맘편히 먹어용
맛있게 잘 먹고 있습니다 만족합니다~~
멀리 떨어져 사는 가족과 지인들에게 선물로 보냈는데 맛있다고 전화 왔어요.
아부지 간식보내드렸습니다 맛있다고하시네요^^
냉동실에 넣어두고 오래먹을려구 많이 주문했어요
잘받았어요 잘먹을게요 감사합니다
"빠른 배송 좋아요 잘받았습니다 예전에 구매해서 먹어봤는데, 오랜만에 재구매 했어요 빠른배송 좋아요 잘받았습니다"
개별포장 되어 있어 보관하기 좋고 꺼내 먹기 편하네요 국내산 보리라 하니깐. 건강에 좋을 것 같고 달지 않아 간식으로도 최고인 것 같아요 수고 많으셨어요
빵이 맛이 좋아요 팥도 달지않고
엄마가 좋아하세요 맛있어요
일일이 개별포장을 해서 더 맛난 느낌이 들어요. 두유와 간식으로 딱이네요.
싸게잘샀어요 좋아요.
간식이 필요할 때 가끔 주문합니다. 행사하길래 일단 주문했어요. 외출할 때 주머니에 하나씩 넣어가면 간식으로 좋아요.
팥앙금이 들어가 달콤하니 맛좋고 밀가루가 아닌 찰보리로 만든 경주빵이라 맛이 더 좋은 것 같아요.
빵 크기는 작지만 달달하니 팥앙금이 들어가 맛있어요.
경주의 명물이라는 빵 사이즈는 작아요. 먹을 때 보리 같은 게 씹히니 식감 좋고 선물하기도 좋아서 가족과 지인에게 모두 보내 주었는데 맛있다네요.
개별포장으로 40개 경주빵이 맛있고 팥앙금이 달달해요.
밀가루빵은 잘 안먹는데 찰보리로 만든 빵이라 간식으로 좋네요
잘 받았습니다 감사합니다
40개의 개별포장이라 고급지고 맛있어요.
경주빵도 파냐? 잘사냐?
료도 좋고 맛이 좋아요..
저렴하게 잘샀어요 좋아요
만족합니다 만족합니다 만족합니다 만족합니다 만족합니다
크기가 작긴한데 간식용으로 좋습니다 보리라서 더 좋겠지요?
잘 받았습니다 잘 받았습니다 잘 받았습니다
많이 달지 않고 보리의 구수한 맛이 느껴지네요 근데 크기가 엄청 작아서 한입거리 네요
맛있어요!!전에먹어보고 맛있어서 또 구매한 제품입니다!!
찰보리빵 촉촉하고 부드러워요. 맛도 좋고 만족합니다.
만족합니다 만족합니다 만족합니다 만족합니다 만족합니다
크리스마스 직전에 배송 경주빵을 받았습니다 아이들 간식으로 나누어 줄겁니다.
맛있어서 자꾸 먹게 돼요. 40개가 적게 느께져요
좋아요 좋아요 좋아요 좋아요
잘 받았습니다 감사합니다
일반경주빵생각하시면 안됩니다 한입크기빵이네요 맛은 그럭저럭
"부드럽고 팥앙금이 맛있어요, 신물이안넘어오고 다른팥은 못먹는데. 좋아요 많이파세요"
